county,lat,lon,population,water,grid,burden,subrgn,tier
06097,38.41166546280635,-122.72075122958157,485642.0,50.0,8.4,40.5,CAMX,Moderate
06099,37.61925424779973,-120.95680499883342,552250.0,50.0,8.4,82.4,CAMX,High
06101,39.13596375964878,-121.64980292078027,98971.0,25.0,8.4,74.2,CAMX,Elevated
06103,40.11596382467644,-122.2188436266361,65520.0,25.0,8.4,56.3,CAMX,Moderate
06105,40.78979917789249,-122.99009528769118,15886.0,5.0,8.4,18.9,CAMX,Low
06107,36.25442204022373,-119.23388552111003,475774.0,95.0,8.4,81.1,CAMX,High
06109,37.972054677406014,-120.2893831101007,54873.0,50.0,8.4,36.3,CAMX,Moderate
06111,34.2440369251532,-119.02689091327689,838259.0,95.0,8.4,59.0,CAMX,High
06113,38.60154418884161,-121.72264459699285,217782.0,50.0,8.4,65.1,CAMX,Elevated
06115,39.12644521983293,-121.51516479311954,83079.0,25.0,8.4,65.5,CAMX,Elevated
08001,39.8783170740967,-104.91523645447863,524408.0,95.0,50.7,74.3,RMPA,High
08003,37.4760633693612,-105.88847731616985,16515.0,50.0,50.7,26.5,RMPA,Elevated
08005,39.6460560967731,-104.83422761838725,655709.0,95.0,50.7,57.3,RMPA,High
08007,37.24562720560815,-107.09962843827863,13730.0,25.0,50.7,5.4,RMPA,Moderate
08009,37.31600415635837,-102.4822433515369,3460.0,95.0,50.7,11.9,RMPA,High
08011,37.97377510028965,-103.11750845482038,5524.0,75.0,50.7,16.8,RMPA,Elevated
08013,40.06292688414337,-105.18217676774124,328317.0,95.0,50.7,44.7,RMPA,High
08014,39.940077306824655,-105.05780786430884,75110.0,95.0,50.7,41.8,RMPA,High
08015,38.67379940232945,-106.07949111497287,19876.0,95.0,50.7,15.9,RMPA,High
08017,38.8356456,-102.60179140000001,1732.0,85.0,50.7,11.1,RMPA,High
08019,39.69407012434281,-105.62979136504097,9358.0,95.0,50.7,19.3,RMPA,High
08021,37.16719305509554,-106.09273222308394,7536.0,25.0,50.7,19.2,RMPA,Moderate
08023,37.27915160215626,-105.42883725727462,3571.0,25.0,50.7,11.8,RMPA,Moderate
08025,38.23855143337985,-103.78576957683038,5734.0,95.0,50.7,24.3,RMPA,High
